Semana,CNPJ_Fundo,Gestor_Apelido,Captacao,Resgate,PL_Medio,DataBase
2025-07-28,28581607000121,"4UM",19361.87,0,290282701.18,2025-08-01
2025-07-28,28648875000113,"Plural",0,0,52736175.34,2025-08-01
2025-07-28,28651424000135,"SFI",192960.67,59758.03,81020535.48,2025-08-01
2025-07-28,28767162000179,"JGP",196083.9,542576.62,448603393.67,2025-08-01
2025-07-28,28788460000145,"Icatu",0,0,212120143.18,2025-08-01
2025-07-28,28840203000105,"IAM",857381.47,1891092.77,1516608266.61,2025-08-01
2025-07-28,28851713000188,"IAM",1943400,365764.74,3650092724.87,2025-08-01
2025-07-28,29044189000104,"AF Invest",3442434.94,79441.46,320576040.24,2025-08-01
2025-07-28,29106510000120,"UBS",0,0,24315137.87,2025-08-01
2025-07-28,29109266000159,"Investcoop",0,0,303297005.94,2025-08-01
2025-07-28,29157520000194,"CEF Asset",51415989.37,40347423.4,12725478625.34,2025-08-01
2025-07-28,29196718000187,"IAM",0,0,6775669468.22,2025-08-01
2025-07-28,29250121000173,"Daycoval",2605489.29,193516.53,854677267.44,2025-08-01
2025-07-28,29259723000191,"IAM",505179.07,23278609.61,17199326603.1,2025-08-01
2025-07-28,29259957000139,"SAM",0,0,682795360.14,2025-08-01
2025-07-28,29626006000150,"Principal",0,566127.78,144146717.99,2025-08-01
2025-07-28,29733674000187,"Rafter",0,0,95177842.11,2025-08-01
2025-07-28,29734143000109,"UBS",0,0,65449389.53,2025-08-01
2025-07-28,29983496000142,"Franklin Templeton",0,0,522799469.85,2025-08-01
2025-07-28,30056825000199,"Safra Asset",12051690.75,1381570.69,1133783443.23,2025-08-01
2025-07-28,30330495000188,"Icatu",0,0,142749618.1,2025-08-01
2025-07-28,30338831000139,"XPG",0,0,48158055.93,2025-08-01
2025-07-28,30338838000150,"Capitânia",60000,1260000,951779316.18,2025-08-01
2025-07-28,30353549000120,"Augme",0,0,23593570.05,2025-08-01
2025-07-28,30392659000100,"BRAM",0,0,910162203.77,2025-08-01
2025-07-28,30453289000165,"G5",7563000,0,546201965.65,2025-08-01
2025-07-28,30506088000189,"XPG",0,0,53062401.13,2025-08-01
2025-07-28,30568172000127,"Augme",0,3368393,811243232.09,2025-08-01
2025-07-28,30568485000185,"Augme",0,0,131620390.09,2025-08-01
2025-07-28,30593140000181,"IAM",2852444.83,13065927.16,15040684617.13,2025-08-01
2025-07-28,30608416000158,"Safra Asset",0,0,183207971.41,2025-08-01
2025-07-28,30630324000174,"JGP",0,0,184497691.81,2025-08-01
2025-07-28,30869395000124,"Sparta",360000,5564020,986222228.93,2025-08-01
2025-07-28,31120022000119,"ARX",84577,2619433,631935882.09,2025-08-01
2025-07-28,31217083000107,"IAM",0,0,6940311062.53,2025-08-01
2025-07-28,31247970000110,"BTG WM",0,0,149734569.61,2025-08-01
2025-07-28,31611340000182,"UBS",0,9002018.51,582890605.1,2025-08-01
2025-07-28,31908013000197,"Atena",0,319000,230600490.48,2025-08-01
2025-07-28,31961612000174,"XPG",308309.42,1298609.93,776269139.99,2025-08-01
2025-07-28,31962100000122,"Sparta",4685000,540677,2223120989.26,2025-08-01
2025-07-28,31963396000104,"Devant",0,155.25,7504338.53,2025-08-01
2025-07-28,31964159000150,"Tyton",660934.56,0,161046665.75,2025-08-01
2025-07-28,32158371000192,"AZ Quest",0,0,195809288.71,2025-08-01
2025-07-28,32159534000151,"IAM",0,0,1733397108.9,2025-08-01
2025-07-28,32225253000150,"Iridium",20671.63,0,235034132.69,2025-08-01
2025-07-28,32225995000185,"Sparta",0,0,62158595.63,2025-08-01
2025-07-28,32312120000110,"BRAM",805384470.41,256268349.18,64341094201.48,2025-08-01
2025-07-28,32312343000188,"Iridium",45622.63,642710.55,541445964.13,2025-08-01
2025-07-28,32312678000104,"ARX",24376935.72,5776171.67,7980759825.07,2025-08-01
2025-07-28,32319525000180,"JGP",49441983.32,2223263.58,3185019132.24,2025-08-01
2025-07-28,32385140000111,"MAG",89662.36,0,201021481.1,2025-08-01
2025-07-28,32388077000177,"BRAM",64555898.33,44252517.55,30863455887.32,2025-08-01
2025-07-28,32397641000118,"Principal",3156.7,10430.76,33252224.75,2025-08-01
2025-07-28,32711923000148,"IAM",0,0,35724988.97,2025-08-01
2025-07-28,32742673000103,"Principal",381.94,508836.92,74333844.69,2025-08-01
2025-07-28,32760072000123,"Icatu",0,2200000,573771516.86,2025-08-01
2025-07-28,32770526000147,"ARX",229662.92,227000,646372977.82,2025-08-01
2025-07-28,32771072000129,"XPG",10000,3284000,627541761.86,2025-08-01
2025-07-28,32990051000102,"Kinea",1053121.59,0,1024385403.61,2025-08-01
2025-07-28,33342285000106,"BRZ",0,0,9233569.62,2025-08-01
2025-07-28,33520988000179,"Butiá",180000,200000,172986962.63,2025-08-01
2025-07-28,33599991000120,"BTG Asset",635482.36,819496.83,460460598.29,2025-08-01
2025-07-28,33701828000126,"Sulamérica",397168.4,244973.08,949325366.19,2025-08-01
2025-07-28,33842492000111,"Safra Asset",2044932.62,48685563.95,6115289003.01,2025-08-01
2025-07-28,33953262000120,"Berkana",0,0,30698873.44,2025-08-01
2025-07-28,34080987000113,"BRAM",0,0,159822340.15,2025-08-01
2025-07-28,34081211000118,"Icatu",0,648000,2527445692.46,2025-08-01
2025-07-28,34109940000135,"BRAM",3550000,8000000,856455012.81,2025-08-01
2025-07-28,34143987000115,"Vinci",19000,0,20949942.52,2025-08-01
2025-07-28,34172479000165,"BTG WM",0,0,199557697.7,2025-08-01
2025-07-28,34200585000105,"Safra Asset",0,0,113951823.32,2025-08-01
2025-07-28,34270943000156,"Capitânia",51957.37,4839.83,107612096.09,2025-08-01
2025-07-28,34369940000174,"Angá",0,0,2446455.25,2025-08-01
2025-07-28,34431868000168,"Root",2873113.05,79000,942517292.07,2025-08-01
2025-07-28,34447278000123,"XPG",0,0,45489372.27,2025-08-01
2025-07-28,34474470000109,"ARX",1695000,1963000,2578170945.48,2025-08-01
2025-07-28,34474989000197,"ARX",1125000,801000,2726037532.8,2025-08-01
2025-07-28,34475149000149,"XPG",0,0,5447756.66,2025-08-01
2025-07-28,34476006000151,"SAM",629768.82,565500,633513564.14,2025-08-01
2025-07-28,34488907000163,"BB Asset",19680141.59,14358675.33,13621334228.43,2025-08-01
2025-07-28,34525051000159,"Sulamérica",0,0,895433406.9,2025-08-01
2025-07-28,34613727000166,"BB Asset",0,0,223983389.64,2025-08-01
2025-07-28,34657939000145,"San WM",0,0,20160646.82,2025-08-01
2025-07-28,34781259000139,"Icatu",0,345753.83,698871136.57,2025-08-01
2025-07-28,34799162000153,"BBM Asset",15000,4527.01,185838877.35,2025-08-01
2025-07-28,34799393000167,"BBM Asset",0,0,890363117.68,2025-08-01
2025-07-28,34962302000162,"ARX",265000,833000,753193802.94,2025-08-01
2025-07-28,35001422000166,"BTG Asset",0,0,1684506380.88,2025-08-01
2025-07-28,35120235000100,"San WM",0,0,88088580.91,2025-08-01
