CNPJ,Ref,Media180,NDias
60477852000104,202606,206360406,122
60477852000104,202607,208645414,124
60477852000104,HOJE,209054198,121
60490407000176,202512,21826832,125
60490407000176,202601,22036718,125
60490407000176,202602,22227050,123
60490407000176,202603,22444179,122
60490407000176,202604,22631125,122
60490407000176,202605,22825133,121
60490407000176,202606,23019623,122
60490407000176,202607,23385034,124
60490407000176,HOJE,23429052,122
60490963000142,202512,22017992,125
60490963000142,202601,22259251,125
60490963000142,202602,22728305,123
60490963000142,202603,23310704,122
60490963000142,202604,23836115,122
60490963000142,202605,24377288,120
60490963000142,202606,24949275,121
60490963000142,202607,25640923,122
60490963000142,HOJE,25702430,120
60500481000126,202512,530243832,126
60500481000126,202601,538517973,126
60500481000126,202602,531614693,124
60500481000126,202603,518403443,123
60500481000126,202604,501738385,122
60500481000126,202605,484930798,121
60500481000126,202606,475035274,122
60500481000126,202607,468818405,124
60500481000126,HOJE,467408702,122
60502894000140,202512,41459570,126
60502894000140,202601,49818072,126
60502894000140,202602,57689714,124
60502894000140,202603,65391750,123
60502894000140,202604,70665422,122
60502894000140,202605,74395421,121
60502894000140,202606,77124025,122
60502894000140,202607,77931457,124
60502894000140,HOJE,77995056,122
60503108000129,202512,14972492,126
60503108000129,202601,15143939,126
60503108000129,202602,15309086,124
60503108000129,202603,15456076,123
60503108000129,202604,15541651,122
60503108000129,202605,15650883,121
60503108000129,202606,15788601,122
60503108000129,202607,15922456,124
60503108000129,HOJE,15933823,122
60510186000150,202512,35582347,126
60510186000150,202601,36473279,126
60510186000150,202602,37082045,124
60510186000150,202603,37610641,123
60510186000150,202604,38025414,122
60510186000150,202605,38376849,121
60510186000150,202606,38658484,122
60510186000150,202607,38881428,124
60510186000150,HOJE,38893632,121
60512384000153,202512,7466973,126
60512384000153,202601,7968654,126
60512384000153,202602,8260201,124
60512384000153,202603,8614209,123
60512384000153,202604,8911488,122
60512384000153,202605,9234711,121
60512384000153,202606,9528781,122
60512384000153,202607,9736945,124
60512384000153,HOJE,9755488,122
60531375000100,202512,14896190,126
60531375000100,202601,14519113,126
60531375000100,202602,14188609,124
60531375000100,202603,13791122,123
60531375000100,202604,13408394,122
60531375000100,202605,13171308,121
60531375000100,202606,13204487,122
60531375000100,202607,13249555,124
60531375000100,HOJE,13248744,121
60532515000164,202512,51580305,126
60532515000164,202601,55456478,126
60532515000164,202602,55157804,124
60532515000164,202603,54661401,123
60532515000164,202604,55265174,122
60532515000164,202605,55803008,121
60532515000164,202606,56042923,122
60532515000164,202607,56299428,124
60532515000164,HOJE,56310091,121
60553394000137,202512,140689765,126
60553394000137,202601,142520092,126
60553394000137,202602,144235745,124
60553394000137,202603,146010488,123
60553394000137,202604,147085026,122
60553394000137,202605,148690859,121
60553394000137,202606,149855253,122
60553394000137,202607,150985099,124
60553394000137,HOJE,151048518,121
60589814000135,202512,15315550,126
60589814000135,202601,15673872,126
60589814000135,202602,16025706,124
60589814000135,202603,16385976,123
60589814000135,202604,16629041,122
60589814000135,202605,16695068,121
60589814000135,202606,16663282,122
60589814000135,202607,16637192,124
60589814000135,HOJE,16627705,122
60606855000192,202512,6268352,126
60606855000192,202601,6170178,126
60606855000192,202602,6060939,124
60606855000192,202603,5837626,123
60606855000192,202604,5605045,122
60606855000192,202605,5314351,121
60606855000192,202606,4999076,122
60606855000192,202607,4600638,122
60606855000192,HOJE,4548635,120
60627132000170,202512,31642724,126
60627132000170,202601,32045071,126
60627132000170,202602,32402847,124
60627132000170,202603,32791627,123
60627132000170,202604,33115168,122
60627132000170,202605,33437505,121
60627132000170,202606,35501635,122
60627132000170,202607,38665743,124
60627132000170,HOJE,39040568,122
60627152000140,202512,26264458,126
60627152000140,202601,27277298,126
60627152000140,202602,28021436,124
60627152000140,202603,28565769,123
60627152000140,202604,28898228,122
60627152000140,202605,29290767,121
60627152000140,202606,29729468,122
60627152000140,202607,30182068,124
60627152000140,HOJE,30224603,121
60675392000110,202512,76536045,126
60675392000110,202601,83948033,126
60675392000110,202602,88719877,124
60675392000110,202603,92393043,123
60675392000110,202604,95652410,122
60675392000110,202605,98045788,121
60675392000110,202606,98947263,122
60675392000110,202607,97504493,124
60675392000110,HOJE,97291246,121
60691906000121,202512,544572229,126
60691906000121,202601,438053350,126
60691906000121,202602,343365430,124
60691906000121,202603,231976545,123
60691906000121,202604,157269285,122
60691906000121,202605,155228644,121
60691906000121,202606,159868402,122
60691906000121,202607,167852361,124
60691906000121,HOJE,168671113,122
60696041000196,202512,34427824,126
60696041000196,202601,38721635,126
60696041000196,202602,42576981,124
60696041000196,202603,47493665,123
60696041000196,202604,51675588,122
60696041000196,202605,55687595,121
60696041000196,202606,59411010,122
60696041000196,202607,62830653,124
60696041000196,HOJE,63306569,122
60709408000169,202512,51607345,111
60709408000169,202601,57221458,126
60709408000169,202602,64916539,124
60709408000169,202603,74466517,123
60709408000169,202604,83377038,122
60709408000169,202605,92544172,121
60709408000169,202606,101613614,122
60709408000169,202607,105790135,124
60709408000169,HOJE,105965513,122
60740534000186,202512,24259564,126
60740534000186,202601,24829453,126
60740534000186,202602,25363114,124
60740534000186,202603,25939456,123
60740534000186,202604,26485235,122
60740534000186,202605,26639942,121
60740534000186,202606,26664993,122
60740534000186,202607,26712208,124
60740534000186,HOJE,26704309,121
60740615000186,202512,32138990,126
60740615000186,202601,32799720,126
60740615000186,202602,33492504,124
