Semana,Gestor_Apelido,Captacao,Resgate,Liquido,PL_Medio,Num_Fundos,DataBase
2025-08-11,"Sparta",211677012.5,8858214.28,202818798.22,6038318698.25,15,2025-08-15
2025-08-11,"SPX",58848765.17,505299.94,58343465.23,1545537263.36,3,2025-08-15
2025-08-11,"Sulamérica",122858,38123.48,84734.52,1078941616.36,3,2025-08-15
2025-08-11,"Suno",0,0,0,74118298.44,2,2025-08-15
2025-08-11,"SWM",29643.89,11379.87,18264.02,298387841.21,4,2025-08-15
2025-08-11,"TAG",0,0,0,35238845.07,1,2025-08-15
2025-08-11,"Tenax",5080074.97,4867947.01,212127.96,205260473.89,1,2025-08-15
2025-08-11,"Tivio",5035683,5900.92,5029782.08,301560687.13,5,2025-08-15
2025-08-11,"Tori 21",0,0,0,14455827.83,1,2025-08-15
2025-08-11,"Trígono",3148.21,18000,-14851.79,44111134.65,1,2025-08-15
2025-08-11,"Turim",0,0,0,152016036.31,3,2025-08-15
2025-08-11,"UBS",28152233.45,9224245.07,18927988.38,7196751545.44,70,2025-08-15
2025-08-11,"Valia",15547.85,15547.85,0,91703159.05,1,2025-08-15
2025-08-11,"Valora",6338815.85,2200000,4138815.85,160255775.89,2,2025-08-15
2025-08-11,"Vêneto",0,0,0,55119021.29,1,2025-08-15
2025-08-11,"Vinci",7314018.3,6120000,1194018.3,1558315653.23,5,2025-08-15
2025-08-11,"Vinland",4723930.97,22578119.71,-17854188.74,5017515301.9,4,2025-08-15
2025-08-11,"WHG",0,0,0,70720056.62,2,2025-08-15
2025-08-11,"XPG",552480990.09,14001472.84,538479517.25,11111504172.96,38,2025-08-15
2025-08-11,"YVY",0,0,0,185526126.4,1,2025-08-15
2025-08-18,"4UM",2317000,0,2317000,20820008,1,2025-08-22
2025-08-18,"Absolute",433561839.98,28145175.03,405416664.95,10940953867.42,10,2025-08-22
2025-08-18,"Ace",9100,1122,7978,3179825.26,1,2025-08-22
2025-08-18,"AF Invest",0,0,0,338338306.04,4,2025-08-22
2025-08-18,"Altera",16524000,12500000,4024000,197805151.01,3,2025-08-22
2025-08-18,"Andbank",1100337.05,0,1100337.05,96128828.02,2,2025-08-22
2025-08-18,"ARX",161290617.76,19665222.03,141625395.73,6078912116.09,8,2025-08-22
2025-08-18,"ASA",0,0,0,94956724.63,3,2025-08-22
2025-08-18,"Asset 1",1510000,0,1510000,42541435.16,1,2025-08-22
2025-08-18,"Atena",50000,0,50000,20815983.38,1,2025-08-22
2025-08-18,"Augme",392571.37,64874.24,327697.13,117562225.66,2,2025-08-22
2025-08-18,"AZ Quest",1612708.29,4061647.32,-2448939.03,551543122.39,2,2025-08-22
2025-08-18,"BB Asset",685350972.46,50859292.9,634491679.56,14870949417.14,68,2025-08-22
2025-08-18,"BBM Asset",12464.92,4006308.22,-3993843.3,141662035.43,2,2025-08-22
2025-08-18,"BDR",0,2500000,-2500000,169899927.87,2,2025-08-22
2025-08-18,"Black Swan",0,0,0,24754551.26,1,2025-08-22
2025-08-18,"Bocaina",254000,0,254000,504497602.71,7,2025-08-22
2025-08-18,"BR Partners",3130717.87,0,3130717.87,383716303.62,9,2025-08-22
2025-08-18,"Brainvest",0,0,0,33358572.95,1,2025-08-22
2025-08-18,"BRAM",682332252.91,144772054.1,537560198.81,18039682401.25,58,2025-08-22
2025-08-18,"BTG Asset",103358371.3,23192265.02,80166106.28,4638740966.07,12,2025-08-22
