CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;CNPJ Gestor;Nome Gestor;Gestor Apelido
45.726.917/0001-06;SUL AMÉRICA PRESTIGE STRATEGIE ITAÚ MASTER FIF RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA;21.813.291/0001-07;SUL AMÉRICA INVESTIMENTOS GESTORA DE RECURSOS S.A.;Sulamérica
45.756.554/0001-51;LISBOA PREV FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;29.580.517/0001-89;CAPRI INVESTIMENTOS LTDA.;Capri
45.912.023/0001-00;ALL SAINTS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;15.319.547/0001-21;OPPORTUNITY AUSTER WEALTH MANAGEMENT LTDA.;Opportunity
46.063.791/0001-08;GALAPAGOS EVO STRATEGY FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;32.706.879/0001-88;GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPAÇÕES LTDA.;Galapagos
46.082.347/0001-21;LIBERTY FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;15.289.957/0001-77;XP ADVISORY GESTAO DE RECURSOS LTDA;XPG
46.098.916/0001-27;OCCAM LIQUIDEZ MASTER FI FINANCEIRO RENDA FIXA CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;43.228.545/0001-62;NOVA OCCAM BRASIL GESTAO DE RECURSOS LTDA.;Occam
46.099.626/0001-06;ARX PREVIDENCIÁRIO S FI FINANCEIRO RENDA FIXA CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;04.408.128/0001-40;ARX INVESTIMENTOS LTDA;ARX
46.205.976/0001-00;AQUILA 8 FI FINANCEIRO - CI MULT - RESP LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
46.246.589/0001-03;BTG PACTUAL OABPREV FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
46.328.602/0001-73;AZ QUEST ALTRO PREV MASTER FIFE FIF MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;59.312.965/0001-62;AZ Quest Prev Ltda.;AZ Quest
46.329.357/0001-19;ROOT CAPITAL HG FI FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;11.397.040/0001-35;ROOT CAPITAL - GESTÃO DE RECURSOS LTDA;Root
46.332.105/0001-49;KINEA BVP FIFE FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;08.604.187/0001-44;KINEA INVESTIMENTOS LTDA.;Kinea
46.334.681/0001-25;SULAMÉRICA PRESTIGE XP SEG PREV FIF RENDA FIXA RESPONSABILIDADE LIMITADA;21.813.291/0001-07;SUL AMÉRICA INVESTIMENTOS GESTORA DE RECURSOS S.A.;Sulamérica
46.373.760/0001-45;ROOT CAPITAL CRÉDITO HG PREVIDÊNCIA FIF RENDA FIXA CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;11.397.040/0001-35;ROOT CAPITAL - GESTÃO DE RECURSOS LTDA;Root
46.385.360/0001-50;JGP CRÉDITO PREVIDENCIÁRIO IPCA MASTER FIF RENDA FIXA CRÉD PRIV LONGO PRAZO - RESP LTDA;13.189.882/0001-27;JGP GESTÃO DE CREDITO LTDA;JGP
46.391.625/0001-22;G5 EVIMERÍA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;09.446.129/0001-00;G5 ADMINISTRADORA DE RECURSOS LTDA.;G5
46.401.016/0001-07;HARE ICATU PREV QUALIFICADO FIF - CLASSE DE INVESTIMENTO MULT CRED PRIV  - RESP  LIMITADA;11.468.803/0001-91;PRADA ADMINISTRADORA DE RECURSOS LTDA.;Prada
46.401.052/0001-70;JGP CRÉDITO B PREVIDÊNCIA FIFE FI FINANCEIRO - CI MULT CRED PRIV LP - RESP LIMITADA;13.189.882/0001-27;JGP GESTÃO DE CREDITO LTDA;JGP
46.405.903/0001-53;G5 SEBRING FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;09.446.129/0001-00;G5 ADMINISTRADORA DE RECURSOS LTDA.;G5
46.415.042/0001-94;ZÊNITE PREVIDÊNCIA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;17.590.181/0001-56;PORTOFINO GESTÃO DE RECURSOS LTDA.;Portofino
46.415.082/0001-36;VP PREMIUM PREVIDÊNCIA FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA;25.248.367/0001-50;VÊNETO GESTÃO DE RECURSOS LTDA;Vêneto
46.415.283/0001-33;PATAGÔNIA ONE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;39.526.263/0001-74;PATAGÔNIA CAPITAL GESTORA DE RECURSOS LTDA.;Patagônia
46.449.621/0001-58;ITAÚ FLEXPREV LUMINA PLUS FIF RF - RESP LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
46.467.107/0001-45;BB EVANGELISTA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A;BB Asset
46.467.162/0001-35;BB ADAGIO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO LONGO PRAZO;30.822.936/0001-69;BB GESTAO DE RECURSOS DTVM S.A;BB Asset
46.473.495/0001-77;G5 ARTHA FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;09.446.129/0001-00;G5 ADMINISTRADORA DE RECURSOS LTDA.;G5
46.539.506/0001-74;WISE CASH FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA;10.442.603/0001-05;WISE ASSET MANAGEMENT LTDA;Wise
46.573.364/0001-61;RAMA FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
46.685.489/0001-83;ICATU VANGUARDA  ABSOLUTO II FIFE FIF - CLASSE DE INVESTIMENTO RF CRED PRIV - RESP LIMITADA;68.622.174/0001-20;ICATU VANGUARDA GESTÃO DE RECURSOS LTDA;Icatu
46.685.502/0001-02;ICATU VANGUARDA ABSOLUTO II FIF RENDA FIXA CRED PRIV PREVIDENCIÁRIO - RESP LIMITADA;42.283.770/0001-39;ICATU SEGUROS S/A;Icatu
46.700.271/0001-50;STRONGER FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;13.421.810/0001-63;VINCI SOLUÇÕES DE INVESTIMENTOS LTDA;Vinci
46.700.364/0001-85;BTG ICATU VANGUARDA ABSOLUTO II FIF  CLASSE DE INVESTIMENTO RF CRÉDITO PRIVADO PREV - RESP LIMITADA;68.622.174/0001-20;ICATU VANGUARDA GESTÃO DE RECURSOS LTDA;Icatu
46.700.422/0001-70;RUBIK CICLOS MASTER FUNDO DE INVESTIMENTO MULTIMERCADO;42.177.684/0001-41;RUBIK CAPITAL ASSET MANAGEMENT LTDA.;Rubik
46.762.285/0001-07;LIMA XIX FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;46.895.578/0001-54;MONTE AZUL GESTÃO DE RECURSOS LTDA.;Monte Azul
46.762.380/0001-00;ICATU VANGUARDA ABSOLUTO INFLAÇÃO FIF RF CRED PRIV PREVIDENCIÁRIO - RESP LIMITADA;68.622.174/0001-20;ICATU VANGUARDA GESTÃO DE RECURSOS LTDA;Icatu
46.762.699/0001-28;ICATU VANGUARDA ABSOLUTO INFLAÇÃO FIFE FIF RF CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;68.622.174/0001-20;ICATU VANGUARDA GESTÃO DE RECURSOS LTDA;Icatu
46.763.213/0001-76;SOMMA SEPTIMUS FIF - CLASSE DE INVESTIMENTO RF CRÉDITO PRIVADO - RESP LIMITADA;05.563.299/0001-06;SOMMA INVESTIMENTOS S.A.;Somma
46.861.528/0001-56;TOG FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;17.590.181/0001-56;PORTOFINO GESTÃO DE RECURSOS LTDA.;Portofino
46.975.312/0001-11;JTP 3 FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;42.177.684/0001-41;RUBIK CAPITAL ASSET MANAGEMENT LTDA.;Rubik
46.975.474/0001-50;KINEA V FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;08.604.187/0001-44;KINEA INVESTIMENTOS LTDA.;Kinea
46.975.834/0001-13;MULTICOOP MODERADO FIF MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;29.650.082/0001-00;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;BTG Asset
46.997.370/0001-46;ARX K2 IVP PREVIDENCIÁRIO INFLAÇÃO CURTA FIF RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA;04.408.128/0001-40;ARX INVESTIMENTOS LTDA;ARX
46.997.395/0001-40;SPARTA PREVIDÊNCIA MASTER IU FIF RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;72.745.714/0001-30;SPARTA ADMINISTRADORA DE RECURSOS LTDA;Sparta
46.997.629/0001-59;BALI FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;22.134.302/0001-95;LAKEWOOD GESTÃO DE RECURSOS LTDA.;Lakewood
47.020.670/0001-33;SVN FOF SELEÇÃO PREV FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA;44.476.932/0001-80;SVN GESTORA DE RECURSOS LTDA;SVN
47.020.699/0001-15;ICATU VANGUARDA DINÂMICO IPCA XP SEG FUNDO DE INVESTIMENTO MULTIMERCADO CP PREV - RESP LIMITADA;68.622.174/0001-20;ICATU VANGUARDA GESTÃO DE RECURSOS LTDA;Icatu
47.020.713/0001-80;PRINZ PACIFIC PREV FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;40.701.503/0001-09;PRINZ GESTORA DE RECURSOS LTDA.;Prinz
47.033.209/0001-15;IPANEMA PREVIDENCIÁRIO FIF MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;09.262.533/0001-16;BTGP WM 3 LTDA;BTG WM
47.033.255/0001-14;FAMAFE PREV FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;49.857.981/0001-87;MONTE BRAVO GESTÃO PATRIMONIAL LTDA.;Monte Bravo
47.033.296/0001-00;FRATELLI PREV FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;34.877.615/0001-12;MONTE BRAVO ASSET MANAGEMENT LTDA.;Monte Bravo
47.085.321/0001-08;STEN PREV FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;06.332.955/0001-22;STEN GESTÃO PATRIMONIAL LTDA.;Sten
47.086.196/0001-42;KILIMA BAHARI PREVIDENCIÁRIO FI MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;34.877.615/0001-12;MONTE BRAVO ASSET MANAGEMENT LTDA.;Monte Bravo
47.122.836/0001-22;1122P FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
47.212.160/0001-68;QUANTITAS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CAPRI PREV FIFE RESP LIMITADA;13.635.309/0001-08;QUANTITAS GESTAO DE RECURSOS LTDA.;Quantitas
47.212.494/0001-31;ICATU VANGUARDA ABSOLUTO II IU FIFE FIF RENDA FIXA CRÉD PRIV LP PREVIDENCIÁRIO - RESP LIMITADA;68.622.174/0001-20;ICATU VANGUARDA GESTÃO DE RECURSOS LTDA;Icatu
47.227.545/0001-07;DHARMA CLASSE DE INVESTIMENTO EM AÇÕES - RESP LIMITADA;41.647.788/0001-00;RAM GESTORA DE RECURSOS LTDA.;RAM
47.227.609/0001-61;BOCAINA WE CAPITAL FUNDO DE INVESTIMENTO FINANCEIRO;38.347.420/0001-11;BOCAINA CAPITAL GESTORA DE RECURSOS LTDA.;Bocaina
47.409.947/0001-14;SPECIALE 180 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;17.590.181/0001-56;PORTOFINO GESTÃO DE RECURSOS LTDA.;Portofino
47.409.965/0001-04;GO DO IT FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;17.590.181/0001-56;PORTOFINO GESTÃO DE RECURSOS LTDA.;Portofino
47.443.943/0001-52;SPARK FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA;29.650.082/0001-00;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;BTG Asset
47.443.993/0001-30;G5 GARANTIDOR SEMPRE BEM FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;09.446.129/0001-00;G5 ADMINISTRADORA DE RECURSOS LTDA.;G5
47.444.012/0001-79;MAPI PREVIDÊNCIA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;25.248.367/0001-50;VÊNETO GESTÃO DE RECURSOS LTDA;Vêneto
47.457.364/0001-69;NTS CAMPOS ELISEOS FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA;29.650.082/0001-00;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;BTG Asset
47.457.832/0001-03;BOCAINA BG FUNDO DE INVESTIMENTO RENDA FIXA;38.347.420/0001-11;BOCAINA CAPITAL GESTORA DE RECURSOS LTDA.;Bocaina
47.540.095/0001-08;ICATU VANGUARDA ABSOLUTO B FIFE FIF - CLASSE DE INVESTIMENTO MUL CRÉDITO PRIVADO - RESP LIMITADA;68.622.174/0001-20;ICATU VANGUARDA GESTÃO DE RECURSOS LTDA;Icatu
47.540.156/0001-29;AMA DABLAM FIF - CLASSE DE INVESTIMENTO MULT CRED PRIV;11.468.803/0001-91;PRADA ADMINISTRADORA DE RECURSOS LTDA.;Prada
47.543.107/0001-40;RIO GRANDE ABSOLUTO FIF RENDA FIXA CRÉDITO PRIVADO PREVIDENCIÁRIO - RESP LIMITADA;01.582.075/0001-90;RIO GRANDE SEGUROS E PREVIDÊNCIA S.A.;Rio Grande
47.543.238/0001-27;ONZE ICATU PREV FIFE FI FINANCEIRO - CI RF CRED PRIV - RESP LIMITADA;34.008.311/0001-19;ONZE GESTORA DE INVESTIMENTOS LTDA.;Onze
47.562.149/0001-28;PERSEVERA TRINITY FUNDO DE INVESTIMENTO RENDA FIXA;29.608.120/0001-58;PERSEVERA GESTÃO DE RECURSOS LTDA.;Persevera
47.586.388/0001-18;OCCAM CRÉDITO CORPORATIVO 30 MASTER FIF RENDA FIXA CRED PRIV LONGO PRAZO - RESPONSABILIDADE LIMITADA;43.228.545/0001-62;NOVA OCCAM BRASIL GESTAO DE RECURSOS LTDA.;Occam
47.586.503/0001-54;OCCAM BP PREVIDÊNCIA FI FINANCEIRO RENDA FIXA CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;43.228.545/0001-62;NOVA OCCAM BRASIL GESTAO DE RECURSOS LTDA.;Occam
47.612.777/0001-70;ABSOLUTE ATENAS PREVIDÊNCIA FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA;47.243.769/0001-02;ABSOLUTE CRÉDITO GESTÃO DE INVESTIMENTOS LTDA.;Absolute
47.628.822/0001-85;ABSOLUTE ATENAS MASTER FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA;47.243.769/0001-02;ABSOLUTE CRÉDITO GESTÃO DE INVESTIMENTOS LTDA.;Absolute
47.628.918/0001-43;ABSOLUTE CRETA MASTER FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA;47.243.769/0001-02;ABSOLUTE CRÉDITO GESTÃO DE INVESTIMENTOS LTDA.;Absolute
47.670.400/0001-78;VINLAND CRÉDITO MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESP LIMITADA;31.846.872/0001-07;VINLAND CAPITAL MANAGEMENT CRÉDITO PRIVADO GESTORA DE RECURSOS LTDA.;Vinland
47.670.422/0001-38;KINEA PREV DAKAR RENDA FIXA FIF LONGO PRAZO RESP LIMITADA;08.604.187/0001-44;KINEA INVESTIMENTOS LTDA.;Kinea
47.684.282/0001-57;RBDG FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;55.648.867/0001-40;TROON GESTORA DE RECURSOS LTDA.;Troon
47.698.912/0001-42;THELOS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;17.590.181/0001-56;PORTOFINO GESTÃO DE RECURSOS LTDA.;Portofino
47.699.481/0001-39;ROS FUNDO DE INVESTIMENTO  FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO;11.468.803/0001-91;PRADA ADMINISTRADORA DE RECURSOS LTDA.;Prada
47.715.736/0001-00;SULAMÉRICA EXCELLENCE MASTER FIF RENDA FIXA CRÉDITO PRIVADO DE RESPONSABILIDADE LIMITADA;21.813.291/0001-07;SUL AMÉRICA INVESTIMENTOS GESTORA DE RECURSOS S.A.;Sulamérica
47.728.212/0001-53;KILIMA MOTO PREV FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;29.408.732/0001-05;XP VIDA E PREVIDÊNCIA S.A.;XPG
47.729.527/0001-15;OBY IBIRA CRÉDITO 30 FI FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;40.147.132/0001-65;OBY CAPITAL GESTORA DE RECURSOS LTDA.;OBY
47.729.760/0001-06;VLGI ASSET DI FUNDO DE INVESTIMENTO EM RENDA FIXA CRÉDITO PRIVADO;44.322.890/0001-23;VLGI ASSET LTDA.;VLGI
47.731.659/0001-81;NORD BMR VIDA ICATU PREVIDENCIÁRIO FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;42.034.424/0001-17;NORD GESTORA DE RECURSOS LTDA.;Nord
47.769.244/0001-05;SNOW FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;32.288.914/0001-96;EUQUEROINVESTIR GESTÃO DE RECURSOS LTDA;EQI
47.776.754/0001-00;G43 FUNDO DE INVESTIMENTO MULTIMERCADO;17.590.181/0001-56;PORTOFINO GESTÃO DE RECURSOS LTDA.;Portofino
47.821.854/0001-00;AP ESTRUTURADO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;15.289.957/0001-77;XP ADVISORY GESTAO DE RECURSOS LTDA;XPG
47.970.053/0001-07;FAROZ FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;10.340.194/0001-28;CONCÓRDIA GESTÃO DE RECURSOS LTDA;Concórdia
48.004.985/0001-50;NARILA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
48.329.815/0001-45;LONG VALUE PGBL PREVIDÊNCIA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;32.288.914/0001-96;EUQUEROINVESTIR GESTÃO DE RECURSOS LTDA;EQI
48.411.732/0001-09;ROOT CAPITAL HIGH YIELD RADICE FIF MULTIMERCADO CRÉDITO PRIVADO IE - RESPONSABILIDADE LIMITADA;11.397.040/0001-35;ROOT CAPITAL - GESTÃO DE RECURSOS LTDA;Root
48.411.822/0001-91;SIGSUG FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA;09.630.188/0001-26;PLURAL INVESTIMENTOS GESTÃO DE RECURSOS LTDA.;Plural
48.658.513/0001-10;XP CORPORATE TOP PREV XP SEGUROS MASTER FIF RF CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;16.789.525/0001-98;XP VISTA ASSET MANAGEMENT LTDA.;XPG
48.658.618/0001-70;BAT FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;15.289.957/0001-77;XP ADVISORY GESTAO DE RECURSOS LTDA;XPG
48.670.714/0001-33;BLUE 2 FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
48.691.860/0001-45;MORE PREMIUM PREVIDÊNCIA FUNDO DE INVESTIMENTO FINANCEIRO EM RENDA FIXA;10.556.398/0001-09;MORE INVEST GESTORA DE RECURSOS LTDA.;More
48.887.560/0001-36;BRADESCO BARILOCHE FI FINANCEIRO - CI RF CRED PRIV - RESP LIMITADA;60.746.948/0001-12;BANCO BRADESCO S.A.;BRAM
48.939.966/0001-15;ARÁBIA FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;24.176.946/0001-71;WARREN BRASIL GESTAO E ADMINISTRACAO DE RECURSOS & CORRETORA DE SEGUROS LTDA.;Warren
48.948.661/0001-70;NEST MACAW RF FIFE ICATU PREVIDENCIÁRIO FIF - CLASSE DE INVESTIMENTO RF CRED PRIV - RESP LIMITADA;08.466.131/0001-70;NEST INTERNATIONAL ADMINISTRADORA DE CARTEIRA DE VALORES MOBILIÁRIOS LTDA;Nest
48.953.198/0001-54;ICATU VANGUARDA CREDIT PLUS VC FIF - CLASSE DE INVESTIMENTO RF CRED PRIV - RESP LIMITADA;68.622.174/0001-20;ICATU VANGUARDA GESTÃO DE RECURSOS LTDA;Icatu
48.974.865/0001-85;TREK FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;01.591.499/0001-11;TAG INVESTIMENTOS LTDA;TAG
48.975.466/0001-39;VINCI FIFE FIF - CLASSE DE  INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO - - RESPONSABILIDADE LIMITADA;11.077.576/0001-73;VINCI GESTORA DE RECURSOS LTDA;Vinci
48.986.296/0001-98;ABSOLUTE OLIMPIA MASTER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;47.243.769/0001-02;ABSOLUTE CRÉDITO GESTÃO DE INVESTIMENTOS LTDA.;Absolute
49.000.812/0001-26;ANNECY FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;11.159.192/0001-08;BR PARTNERS GESTÃO DE RECURSOS LTDA;BR Partners
49.014.064/0001-30;EXES PREVIDÊNCIA FIFE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;31.960.567/0001-33;EXES GESTORA DE RECURSOS LTDA.;Exes
49.037.854/0001-31;NUPTSE FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;46.895.578/0001-54;MONTE AZUL GESTÃO DE RECURSOS LTDA.;Monte Azul
49.043.044/0001-98;AMG NITRO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;49.857.981/0001-87;MONTE BRAVO GESTÃO PATRIMONIAL LTDA.;Monte Bravo
49.050.466/0001-90;ALFORGE FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;46.895.578/0001-54;MONTE AZUL GESTÃO DE RECURSOS LTDA.;Monte Azul
49.077.283/0001-69;NOVA PATAGONIA FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;31.384.260/0001-31;ORIZ ASSET MANAGEMENT LTDA.;Oriz
49.084.118/0001-34;EREDITA ICATU PREVIDENCIÁRIO QUALIFICADO FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;17.590.181/0001-56;PORTOFINO GESTÃO DE RECURSOS LTDA.;Portofino
49.089.005/0001-21;FIDEM ICATU PREVIDENCIÁRIO QUALIFICADO FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;17.590.181/0001-56;PORTOFINO GESTÃO DE RECURSOS LTDA.;Portofino
49.124.184/0001-90;BTG NEXT FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;12.695.840/0001-03;BTG PACTUAL  GESTÃO E CONSULTORIA DE INVESTIMENTOS LTDA;BTG WM
49.159.909/0001-86;KAZARES FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO;13.421.810/0001-63;VINCI SOLUÇÕES DE INVESTIMENTOS LTDA;Vinci
49.178.674/0001-70;BTG PACTUAL CONSÓRCIO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA REFERÊNCIA DI;29.650.082/0001-00;BTG PACTUAL ASSET MANAGEMENT S/A DTVM;BTG Asset
49.225.596/0001-17;PRÓSPERO PREV FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;40.166.546/0001-31;DOURO CAPITAL GESTORA DE RECURSOS E INVESTIMENTOS LTDA.;Douro
49.227.505/0001-82;H7 PREV FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;15.289.957/0001-77;XP ADVISORY GESTAO DE RECURSOS LTDA;XPG
49.227.609/0001-97;FADA PREV FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;15.289.957/0001-77;XP ADVISORY GESTAO DE RECURSOS LTDA;XPG
49.227.701/0001-57;MSGE PREV FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;15.289.957/0001-77;XP ADVISORY GESTAO DE RECURSOS LTDA;XPG
49.266.400/0001-32;ITAÚ BALANCEADO ATIVO FUNDO MÚTUO DE PRIVATIZAÇÃO FGTS CARTEIRA LIVRE RESPONSABILIDADE LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
49.269.925/0001-21;SANTANDER PREV MULTIESTRATÉGIA RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO - FIF RESP LIMITADA;10.231.177/0001-52;SANTANDER BRASIL GESTÃO DE RECURSOS LTDA;SAM
49.270.021/0001-16;SBPREV I MASTER RENDA FIXA CRÉDITO PRIVADO - FIF RESP LIMITADA;10.231.177/0001-52;SANTANDER BRASIL GESTÃO DE RECURSOS LTDA;SAM
49.328.341/0001-80;SAFRA PREV VITESSE MASTER FIF PREVIDENCIÁRIO CI RENDA FIXA CRÉDITO PRIVADO PREV RESP LIMITADA;01.638.542/0001-57;SAFRA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;Safra Asset
49.361.982/0001-36;ITAÚ CYAMPREV ARROJADO FIF MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA;40.430.971/0001-96;ITAU UNIBANCO ASSET MANAGEMENT LTDA.;IAM
49.366.532/0001-36;ROOT CAPITAL HIGH YIELD PREVIDÊNCIA FIF RENDA FIXA CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;11.397.040/0001-35;ROOT CAPITAL - GESTÃO DE RECURSOS LTDA;Root
