"ticker","taxaAnbimaOriginal","tipoTaxaAnbima","txAnbimaFormatada","indexadorAnbima","dataReferenciaAnbima","dataVencimento","durationAnbimaDiasUteis","durationAnbimaAnos","percentualCdiOriginal","spreadCdiEquivalente","metodologiaConversaoCdi","ntnbReferencia","codigoNtnbExibicao","taxaNtnbReferencia","spreadNtnbBps","statusCalculoAnbima","motivoAusenciaAnbima","fonteAnbima"
"BION17","10,6502","IPCA_SPREAD","B30 + 215 bps","IPCA + 10.1044%","2026-07-17","2032-10-15","900,00","3,57","","","","2030-08-15","B30","8,3257","215","ok","","ANBIMA Data API (web-bff)"
"BKBR19","1,4879","DI_SPREAD","CDI + 1,49%","DI + 1.9000%","2026-07-17","2027-04-24","182,00","0,72","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"BLMN12","7,7446","IPCA_SPREAD","B29 - 52 bps","IPCA + 7.1358%","2026-07-17","2031-12-15","590,00","2,34","","","","2029-05-15","B29","8,3100","-52","ok","","ANBIMA Data API (web-bff)"
"BRIT11","0,9444","DI_SPREAD","CDI + 0,94%","DI + 2.0000%","2026-07-17","2027-08-25","139,00","0,55","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"BRIT12","1,2821","DI_SPREAD","CDI + 1,28%","DI + 1.6000%","2026-07-17","2030-07-10","615,00","2,44","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"BRKMA6","","DI_SPREAD","—","DI + 1.7500%","2026-07-17","2029-05-12","","","","","","","","","","sem_taxa","Taxa indicativa vazia","ANBIMA Data API (web-bff)"
"BRKMA8","","DI_SPREAD","—","DI + 1.7000%","2026-07-17","2029-11-09","","","","","","","","","","sem_taxa","Taxa indicativa vazia","ANBIMA Data API (web-bff)"
"BRKMB6","","DI_SPREAD","—","DI + 2.0000%","2026-07-17","2032-05-12","","","","","","","","","","sem_taxa","Taxa indicativa vazia","ANBIMA Data API (web-bff)"
"BRKMB8","","DI_SPREAD","—","DI + 1.9500%","2026-07-17","2032-11-09","","","","","","","","","","sem_taxa","Taxa indicativa vazia","ANBIMA Data API (web-bff)"
"BRKP28","9,7834","IPCA_SPREAD","B32 + 143 bps","IPCA + 5.5365%","2026-07-17","2034-09-15","1302,00","5,17","","","","2032-08-15","B32","8,2400","143","ok","","ANBIMA Data API (web-bff)"
"BRKPA0","2,4005","DI_SPREAD","CDI + 2,40%","DI + 2.4000%","2026-07-17","2027-04-15","175,00","0,69","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"BRKPA2","2,6025","DI_SPREAD","CDI + 2,60%","DI + 3.2500%","2026-07-17","2029-02-21","516,00","2,05","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"BRKPA3","2,5848","DI_SPREAD","CDI + 2,58%","DI + 2.9300%","2026-07-17","2029-08-23","597,00","2,37","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"BRKPA4","2,7503","DI_SPREAD","CDI + 2,75%","DI + 1.9000%","2026-07-17","2030-10-15","779,00","3,09","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"BRMLA1","0,4334","DI_SPREAD","CDI + 0,43%","DI + 0.6300%","2026-07-17","2031-08-20","829,00","3,29","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"BRMLB1","0,5403","DI_SPREAD","CDI + 0,54%","DI + 0.9500%","2026-07-17","2034-08-20","1093,00","4,34","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"BRST11","8,4109","IPCA_SPREAD","B27 + 23 bps","IPCA + 5.7694%","2026-07-17","2028-03-15","217,00","0,86","","","","2027-05-15","B27","8,1600","23","ok","","ANBIMA Data API (web-bff)"
"BRST14","1,5500","DI_SPREAD","CDI + 1,55%","DI + 1.4000%","2026-07-17","2031-05-15","732,00","2,90","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"BRST15","8,6589","IPCA_SPREAD","B31 + 37 bps","IPCA + 8.0355%","2026-07-17","2032-12-15","1113,00","4,42","","","","2031-05-15","B31","8,2595","37","ok","","ANBIMA Data API (web-bff)"
"BSA312","0,4285","DI_SPREAD","CDI + 0,43%","DI + 0.5800%","2026-07-17","2049-05-03","667,00","2,65","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"BSA318","0,3478","DI_SPREAD","CDI + 0,35%","DI + 0.6200%","2026-07-17","2029-05-28","408,00","1,62","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"BSA319","0,5009","DI_SPREAD","CDI + 0,50%","DI + 0.5900%","2026-07-17","2031-01-08","785,00","3,12","","","","","","","","ok","","ANBIMA Data API (web-bff)"
"BSA3A0","0,3635","DI_SPREAD","CDI + 0,36%","DI + 0.4500%","2026-07-17","2030-09-18","711,00","2,82","","","","","","","","ok","","ANBIMA Data API (web-bff)"
