CD_ATIVO,GESTOR,VL_ALOCADO
"TFLEA9","Polo",8517614.38
"CSANB0","BTG Asset",18402452.15
"ESCEB6","BRAM",111459428.33
"ALUP18","Portofino",1066511.81
"MSRO17","Butiá",60177.88
"VLIDB1","Root",37515189.27
"EEELA5","ASA",110230.67
"VERO13","UBS",7401427.12
"CVCB14","Solis",3758896.56
"EGIEB1","BRAM",96716
"JALL11","Portofino",2562402.23
"SAELA3","SVN",38354.16
"EDPA11","BTG WM",99909.83
"RDORD9","YVY",3837051.52
"TSSG21","Turim",1051445.07
"IGTAB0","Maud",748126.01
"VAMO33","Sulamérica",2758867.78
"CPGT18","IAM",335644304.96
"CBAN22","Franklin Templeton",26335956.83
"EEELA4","BR Partners",596918.32
"MOTVA8","San WM",5606918.51
"VBBR26","Root",53837627.7
"VULN11","SAM",34651906.98
"MEZ511","Andbank",1384376.56
"CESPA4","Franklin Templeton",17311532.7
"IGTAB1","Valora",233239.27
"YDUQA2","Brainvest",516981.84
"AHGD13","SPX",7240542.79
"AEGPB7","Novus",35465.59
"VERTD3","(fundo nao cadastrado)",113639591.84
"FLRYB0","ASA",1055961.36
"JALL21","Plural",254389.52
"PALFA3","San WM",5329023.04
"CPLD38","Rafter",754322.37
"HBSA21","Vinland",707750.87
"MOTVA8","BB Asset",208286952.33
"PLSB1A","G5",63546.27
"SUZBA0","(fundo nao cadastrado)",14062494.66
"HGLB13","Legacy",31196729.49
"ENEVA3","Paramis",1045949.04
"APFD19","IAM",28389732.97
"VERTB5","Kinea",63653874.67
"CMGD27","Turim",522030.53
"URBI13","JGP",16282189.29
"RSPA11","Rio Bravo",2017693.06
"CEEBB2","SAM",9357601.83
"TRPLA4","Black Swan",1252257.08
"AZZA11","Quantitas",3816353.01
"GASC18","ARX",32143217.45
"EKTRB6","Legacy",24708154.08
"NTSD35","Kinea",119310850.51
"AESLA9","Occam",4052323.94
"CSANA0","(fundo nao cadastrado)",170165174.6
"RENTA5","BTG WM",66344840.49
"RNDNB0","BRAM",8574259.88
"CTEE2B","BR Partners",11464.56
"CPLD37","Sparta",944615.18
"RNDNA1","IAM",205046452.3
"ENGIC4","Butiá",7225539.73
"ACMB13","Tivio",13969884.22
"CLGE11","(fundo nao cadastrado)",3994199
"ESSDA4","BRAM",17948584.81
"SBSPF9","Galapagos",186859.55
"GASC18","Asset 1",995731.78
"ENMTF8","Safra Asset",494868.49
"SUZBB1","Kadima",70733.25
"VLIDA0","(fundo nao cadastrado)",6197457
"ENMTC5","Safra Asset",81270780.73
"ERDVA6","ASA",1166380.48
"IOCHA4","SFI",1040372.05
"GASC19","IAM",163356195.32
"FRAG16","Scalare",9162287.87
"SBSPD4","BRAM",2751294.67
"RENTC4","Kinea",12785134.11
"EQTR21","XPG",230705.36
"ITPE12","(fundo nao cadastrado)",889.08
"CSAN23","BR Partners",720114.04
"EEELA4","XPG",15166708.3
"CMIN11","Vinland",901008.06
"EEELB1","Root",5119360.81
"NTSD36","Sparta",34992514.97
"TPER1B","BRZ",743.61
